availability;description;features;brand;name;id;price;category;images;quantity
10 dni;Producent: Lutec  <br>Nazwa: CATE  <br>Symbol: 7264230213  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 190<br>  * szerokość (mm): 430<br>  * głębokość (mm): 430<br>  * ilość źródeł / rodzaj trzonka: 3 x E27 60W<br>  * max moc źródła: 60 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Matowa rdza<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;CATE STOJĄCA;8821;630.99;Stojące zewnętrzne;https://jasniej.com/19696-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19697-thickbox_01resp/cate-stojaca.jpg, https://jasniej.com/19698-thickbox_01resp/cate-stojaca.jpg;2
10 dni;Producent: Lutec  <br>Nazwa: KELSEY  <br>Symbol: 7273601012  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 103<br>  * szerokość (mm): 150<br>  * głębokość (mm): 170<br>  * ilość źródeł / rodzaj trzonka: 1 x E27 40W<br>  * max moc źródła: 40 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny mat<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;KELSEY STOJĄCA;8819;270.6;Stojące zewnętrzne;https://jasniej.com/19690-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19691-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19692-thickbox_01resp/kelsey-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: KELSEY  <br>Symbol: 7273602012  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 400<br>  * szerokość (mm): 150<br>  * głębokość (mm): 170<br>  * ilość źródeł / rodzaj trzonka: 1 x E27 40W<br>  * max moc źródła: 40 W<br>  * napięcie: 230<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny mat<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;KELSEY STOJĄCA;8820;180.81;Stojące zewnętrzne;https://jasniej.com/19693-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19694-thickbox_01resp/kelsey-stojaca.jpg, https://jasniej.com/19695-thickbox_01resp/kelsey-stojaca.jpg;0
10 dni;Producent: Lutec  <br>Nazwa: UNITE  <br>Symbol: 7260401012  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 346<br>  * szerokość (mm): 165<br>  * głębokość (mm): 165<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 9W 330lm 3000K<br>  * max moc źródła: 9 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Czarny mat<br>  * materiał: aluminium/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;UNITE STOJĄCA;8813;123.0;Stojące zewnętrzne;https://jasniej.com/19672-thickbox_01resp/unite-stojaca.jpg, https://jasniej.com/19673-thickbox_01resp/unite-stojaca.jpg, https://jasniej.com/19674-thickbox_01resp/unite-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: UNITE  <br>Symbol: 7260401030  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 346<br>  * szerokość (mm): 165<br>  * głębokość (mm): 165<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 9W 330lm 3000K<br>  * max moc źródła: 9 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały mat<br>  * materiał: aluminium/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;UNITE STOJĄCA;8812;123.0;Stojące zewnętrzne;https://jasniej.com/19669-thickbox_01resp/unite-stojaca.jpg, https://jasniej.com/19670-thickbox_01resp/unite-stojaca.jpg, https://jasniej.com/19671-thickbox_01resp/unite-stojaca.jpg;1
Wysyłamy w 3- 4 dni;<br>;<br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    180<br>Wysokość<br>    445<br>Kolor<br>    Czarny<br>;Maytoni;Abbey Road Landscape Lighting Black 1 x E2;19200;229.0;Stojące zewnętrzne;https://jasniej.com/72024-thickbox_01resp/abbey-road-landscape-lighting-black-1-x-e27-60w.jpg;5
Wysyłamy w 3- 4 dni;<br>;<br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    225<br>Wysokość<br>    1050<br>Kolor<br>    Brązowy<br>;Maytoni;Salamanca Landscape Lighting Brown 1 x E27;19191;593.0;Stojące zewnętrzne;https://jasniej.com/72008-thickbox_01resp/salamanca-landscape-lighting-brown-1-x-e27-60w.jpg, https://jasniej.com/72009-thickbox_01resp/salamanca-landscape-lighting-brown-1-x-e27-60w.jpg;3
Wysyłamy w 3- 4 dni;<br>;<br><br> Opis<br><br>Light source<br>    1 x E27 60W<br>Średnica<br>    225<br>Wysokość<br>    1060<br>Kolor<br>    Czarny<br>;Maytoni;Rivoli Landscape Lighting Black 1 x E27 60;19194;515.0;Stojące zewnętrzne;https://jasniej.com/72016-thickbox_01resp/rivoli-landscape-lighting-black-1-x-e27-60w.jpg, https://jasniej.com/72017-thickbox_01resp/rivoli-landscape-lighting-black-1-x-e27-60w.jpg;1
Wysyłamy w 3- 4 dni;Metal body. Resistant to thermal shock and corrosion.Glass diffuser. LED bulbs recommended.<br>;<br><br> Opis<br><br>Szerokość<br>    140<br>Light source<br>    1E27 60W<br>Light source<br>    1 x E27 60W<br>Wysokość<br>    610-140<br>Wysokość<br>    610<br>Głębokość<br>    140<br>Kolor<br>    Czarny<br>;Maytoni;Landscape Lighting Unter den Linden 1E27 6;8599;381.0;Stojące zewnętrzne;https://jasniej.com/17480-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/17481-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/18515-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/19316-thickbox_01resp/landscape-lighting-unter-den-linden.jpg, https://jasniej.com/19317-thickbox_01resp/landscape-lighting-unter-den-linden.jpg;7
Wysyłamy w 2-3 dni;Metal body. Resistant to thermal shock and corrosion. Textured clear glass diffuser.<br>;<br><br> Opis<br><br>Light source<br>    1E27 60W<br>Light source<br>    1 x E27 60W<br>Średnica<br>    240<br>Wysokość<br>    593<br>Kolor<br>    Brązowy<br>;Maytoni;Landscape Lighting La Rambla 1E27 60W;8591;644.0;Stojące zewnętrzne;https://jasniej.com/17470-thickbox_01resp/landscape-lighting-la-rambla.jpg, https://jasniej.com/17471-thickbox_01resp/landscape-lighting-la-rambla.jpg, https://jasniej.com/18507-thickbox_01resp/landscape-lighting-la-rambla.jpg, https://jasniej.com/19306-thickbox_01resp/landscape-lighting-la-rambla.jpg, https://jasniej.com/19307-thickbox_01resp/landscape-lighting-la-rambla.jpg;2
