"availability","description","features","brand","name","id","price","categories__001","categories__002","categories__003","categories__004","categories__005","image","images__001","images__002","images__003","images__004","images__005","images__006"
"10 dni","Producent: Lutec  \nNazwa: PADLIGHT  \nSymbol: 6907701331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 180\n  * szerokość (mm): 24\n  * głębokość (mm): 141\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","PADLIGHT STOJĄCA","8834","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","PADLIGHT STOJĄCA","https://jasniej.com/19735-large_01resp/padlight-stojaca.jpg","https://jasniej.com/19735-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19736-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19737-medium_01resp/padlight-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: PADLIGHT  \nSymbol: 6907701340  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 180\n  * szerokość (mm): 24\n  * głębokość (mm): 141\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K\n  * max moc źródła: 2 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Pomarańczowy\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","PADLIGHT STOJĄCA","8832","180.81","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","PADLIGHT STOJĄCA","https://jasniej.com/19729-large_01resp/padlight-stojaca.jpg","https://jasniej.com/19729-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19730-medium_01resp/padlight-stojaca.jpg","https://jasniej.com/19731-medium_01resp/padlight-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908002337  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 450\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Srebrnoszary\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8831","158.67","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19726-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19726-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19727-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19728-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001337  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Srebrnoszary\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8829","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19720-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19720-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19721-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19722-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8828","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19717-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19717-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19718-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19719-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908003331  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 0K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Biały\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8830","114.39","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19723-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19723-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19724-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19725-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001339  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Zielony\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8827","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19714-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19714-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19715-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19716-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: TABLE CUBE  \nSymbol: 6908001340  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 133\n  * szerokość (mm): 120\n  * głębokość (mm): 120\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 100lm 3000K\n  * max moc źródła: 1 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Pomarańczowy\n  * materiał: tworzywo/tworzywo\n  * IP: 44","Specyficzne kody","Lutec","TABLE CUBE STOJĄCA","8826","103.32","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","TABLE CUBE STOJĄCA","https://jasniej.com/19711-large_01resp/table-cube-stojaca.jpg","https://jasniej.com/19711-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19712-medium_01resp/table-cube-stojaca.jpg","https://jasniej.com/19713-medium_01resp/table-cube-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: POPPY  \nSymbol: 6910802335  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 190\n  * szerokość (mm): 48\n  * głębokość (mm): 46\n  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 8W 500lm 3000K\n  * max moc źródła: 8 W\n  * napięcie: 0\n  * źródło w zestawie: LED zintegr.\n  * kolor lampy: Szary\n  * materiał: tworzywo/tworzywo\n  * IP: 54","Specyficzne kody","Lutec","POPPY STOJĄCA","8825","676.5","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","POPPY STOJĄCA","https://jasniej.com/19708-large_01resp/poppy-stojaca.jpg","https://jasniej.com/19708-medium_01resp/poppy-stojaca.jpg","https://jasniej.com/19709-medium_01resp/poppy-stojaca.jpg","https://jasniej.com/19710-medium_01resp/poppy-stojaca.jpg","","",""
"10 dni","Producent: Lutec  \nNazwa: CATE  \nSymbol: 7264210213  \nParametry\n\n  * średnica (mm): \n  * wysokość (mm): 945\n  * szerokość (mm): 265\n  * głębokość (mm): 176\n  * ilość źródeł / rodzaj trzonka: 1 x E27 60W\n  * max moc źródła: 60 W\n  * napięcie: 230\n  * źródło w zestawie: brak\n  * kolor lampy: Matowa rdza\n  * materiał: aluminium/szkło\n  * IP: 44","Specyficzne kody","Lutec","CATE STOJĄCA","8822","248.46","Strona główna","Oświetlenie","Lampy zewnętrzne","Stojące zewnętrzne","CATE STOJĄCA","https://jasniej.com/19699-large_01resp/cate-stojaca.jpg","https://jasniej.com/19699-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19700-medium_01resp/cate-stojaca.jpg","https://jasniej.com/19701-medium_01resp/cate-stojaca.jpg","","",""
